# The freeze audit's trust root (ADR 0027). One row per issue in the committed
# snapshot (state=active) plus every issue this audit has resolved (state=resolved).
# BOTH tables in docs/freeze-audit.md are GENERATED from this file by
# render-audit.sh, and check-freeze-audit.sh fails if the page and a fresh render
# diverge. Do not edit the page's tables by hand.
#
# What moved on a frozen surface is NOT recorded here. It lives in
# surface-changes.tsv, one row per change, because a change is
# (surface, item, kind, before, after, commit, issues, legality) and issues and
# changes are many-to-many: one commit carried five issues and one issue caused
# two changes. Folding that into a single-valued column here lost four of the
# window's five closed-set additions in the first draft of this schema.
#
# Columns (tab-separated):
#   number              bare issue number, no '#'
#   state               active | resolved. An active row is an open issue in the
#                       committed snapshot; a resolved row is one this audit has
#                       seen closed. The gate counts active rows for completeness
#                       and requires a resolved row for every snapshot issue that
#                       has since closed.
#   what_it_is          the row's one-line description
#   surface_forecast    active rows only: which frozen surface resolving the issue
#                       AS FILED would move, space-separated, or 'none'. This is a
#                       FORECAST, not a measurement. '-' on resolved rows.
#                         config-format | report-schema | exit-codes
#                         | replay-compatibility | mcp-surface | none
#   surface_change_ids  resolved rows only: the change_id(s) in surface-changes.tsv
#                       this issue's resolution caused, 'none' if the surface diff
#                       found nothing attributable to it, or 'not-measured' when the
#                       issue closed BEFORE this sweep's window and no diff of this
#                       sweep says anything about it (the seventeen rows migrated
#                       from the 2026-08-17/18 sweeps). The first draft used 'none'
#                       for those too, and the render then read "measured: no frozen
#                       surface moved - yes - verdict soundness" on a row the older
#                       sweep had recorded as touching one. This IS a measurement
#                       where it says so - see ADR 0028's three rungs and what each
#                       can support. '-' on active rows.
#   surface_reason      why that forecast, or why none. Never empty.
#   class               A | B | C | D, on failure-direction grounds. Applies to
#                       every row, not only to touchers (owner ruling 2026-08-27).
#                         A  the gap can make PASS overclaim
#                         B  FAIL-side noise or precision
#                         C  ergonomics and diagnostics
#                         D  adversarial surface: the gap hands an attacker a
#                            capability against a consumer of the output or the
#                            operator's filesystem (owner ruling 2026-08-27; the
#                            five threat-model issues in this sweep fit none of
#                            A, B or C, and the historical rows had already
#                            resorted to 'A-adjacent' and 'C-shaped' twice)
#   disposition         allowed values depend on class. Class A is the restricted
#                       one, because it is the class prose cannot retire:
#                         A       -> fix, demote, narrow, measured-already-fixed,
#                                    duplicate
#                         B, C    -> fix, document, defer, tracked,
#                                    measured-already-fixed, duplicate
#                         D       -> the same as B and C, plus 'contain' (the
#                                    exposure is bounded by a stated operational
#                                    precondition rather than removed)
#                       'after-1.0' means the owner scheduled the work outside
#                       v1.0's scope, so the tag does not leave a frozen surface
#                       broken by it. NOTE THE ASYMMETRY: class A cannot take it.
#                       Scheduling a PASS-overclaim gap out of the release IS the
#                       outcome class A forbids, and an enum that accepted it there
#                       would let the one clause with teeth be satisfied by a
#                       calendar. It replaced 'defer' on the four open after-1.0
#                       rows because 'defer' is defined as deferral to 1.x, and
#                       these are deferred PAST the frozen contract's life --
#                       seven issues with one adjudication were carrying two words.
#                       Migrating the seventeen historical resolved rows is what
#                       showed this set had been written from the thirteen active
#                       ones alone: it had no room for 'document' on a C row
#                       (#12), for 'measured-already-fixed' outside class A (#6,
#                       #13), or for a duplicate (#165).
#   rationale           the prose that follows the disposition; '-' for none,
#                       never an empty trailing field.
number	state	what_it_is	surface_forecast	surface_change_ids	surface_reason	class	disposition	rationale
167	resolved	the text defang stops at 0x7f; raw C1 bytes pass through	-	not-measured	reading taken by the 2026-08-17/18 sweeps: no — display hardening, outside the five surfaces	C	fix	**Fixed 2026-08-18 ahead of any deferral, owner decision** (filed after the 08-17 snapshot; classified at the re-sweep): one UTF-8-aware classifier behind both text-side predicates — plan review found the second, `sanitizeForReport` — C1 defanged in both encodings, invalid bytes one at a time, real multi-byte sequences spared, both routes pinned with a byte-wise mutation seen red (PR #177) Recorded on the page as class 'C-shaped', which was not one of the three values the page defined; mapped to C here and the original word kept.
169	resolved	a world-only process boundary is tolerated with no account of that world	-	not-measured	reading taken by the 2026-08-17/18 sweeps: yes — what a verdict means over a boundary nobody accounted for	A	fix	**Fixed 2026-08-18, owner decision** (filed after the 08-17 snapshot; classified at the re-sweep): refuses under `boundary_without_oracle` — the issue's own per-world analog, so the schema's closed set does not move; the world-story `processes` account precedes the refusal; the existing tolerate check inverted as the red/green pair; ADR 0002 superseded in part, its knowingly-open recording-crossed window now stated to cover the whole remaining exposure (PR #176)
180	resolved	installing is four steps where the ecosystem's answer is one	-	none	release engineering, the same class as #161	C	fix	Closed 2026-08-23 through an external repository (yottayoshida/homebrew-tap#58); no commit or PR in THIS repository names it. The measurement in the issue held: the shim search needed no code change.
181	resolved	the macOS-has-no-oracle claim rested on one tool	-	none	a measurement of platform observers; it would add capability through channels already frozen and already accommodating it (the --oracle flag and oracle_verified)	C	fix	Closed 2026-08-23 (PR #285). The survey measured every candidate: no unprivileged oracle exists, SIP leaves DTrace without probes even as root, fs_usage works root-gated.
183	resolved	criterion 1, second cohort: five targets frozen at selection	-	none	a cohort selection freeze, outside the five surfaces	C	fix	Closed 2026-08-21. Two null-with-verdicts and three walls, all under pre-frozen rules.
190	resolved	widen the metadata exclusion to the timestamp family	-	none	the report prose widened from ownership/permission to name timestamps and docs/report-schema.md followed; the schema SHAPE was unchanged (metadata_writes already existed) and the closed set was untouched, so the surface diff attributes nothing here	B	fix	Owner-approved 2026-08-21. The issue calls its own change pre-tag-legal under the freeze's rules: a verdict-reaching behaviour change, recorded in the CHANGELOG.
200	resolved	freeze the monotonic clock and re-ask the Borg question	-	none	declared apparatus around a target, outside the five surfaces	C	fix	Closed 2026-08-21 (PR #208). Owner scheduling ruling: before v1.0, because Borg was the only wall whose mechanism was incidental to the product.
209	resolved	criterion 1, third cohort: sweet-spot selection frozen with bench refill	-	none	a cohort selection freeze, outside the five surfaces	C	fix	Closed 2026-08-22. The bench refill rule means the cohort cannot end in 'we could not measure'.
221	resolved	scout model sensitivity: does the method hold with a smaller scout?	-	none	measures question quality, and by construction the judge never consults the scout	C	fix	Closed 2026-08-22. Explicitly not a verdict-soundness question.
231	resolved	select the earliest checker-red world, not the earliest violation	-	sc-06	the surface diff attributes a measured change to this issue's resolution; see surface-changes.tsv for the item, the legality and the evidence	B	fix	Closed 2026-08-22. Added checker_earliest to the report, the one additive field this window gained, and checked it against docs/contract-freeze.md before landing it. The poetry record is the demonstration: a precision-limit L0 world structurally precedes the world where the declared checker actually breaks.
239	resolved	the A-group UNKNOWN rate predates two cohorts	-	none	a published number about the engine's own development inputs; criterion 4's threshold rests on B-group data, which this does not touch	C	fix	Closed 2026-08-26 (PR #346). Settled 'runnable' in writing before the sweep ran, which is the order that keeps the answer from being chosen after seeing its effect.
240	resolved	criterion 3's kill-criteria review predates two cohorts	-	none	a scoring judgement about kill criteria, outside the five surfaces	C	fix	Closed 2026-08-27 (PR #362). Re-scored row by row with the previous verdict quoted beside the new one; two rows reopened and were adjudicated.
244	resolved	the shim cannot see Rust std's fs::copy, and the libc-bypass class has three mechanisms	-	sc-07	the surface diff attributes a measured change to this issue's resolution; see surface-changes.tsv for the item, the legality and the evidence	A	fix	Closed 2026-08-26 (PR #332). Exporting the weak-lookup symbols was sufficient for a whole class of Rust tools; the bump to v11 is the declared-not-a-break kind. Class A because a write the shim cannot see is a PASS-side hole wherever no oracle refuses it.
256	resolved	the shim omits three wrappers the oracle already classifies	-	sc-07	the surface diff attributes a measured change to this issue's resolution; see surface-changes.tsv for the item, the legality and the evidence	A	fix	Closed 2026-08-26 (PR #332). renameat2, pwritev, pwritev2 — real glibc symbols that were simply never written. Same bump as #244.
264	resolved	a failed waitpid decodes as exit 0: the wrong-reason path was shipped	-	sc-01	the surface diff attributes a measured change to this issue's resolution; see surface-changes.tsv for the item, the legality and the evidence	A	fix	Closed 2026-08-24 (PR #294). Eight consecutive failures produced a confident wrong reason; the fix refuses with child_wait_failed instead, which is why the closed set gained a member.
265	resolved	snapshot reads whole files with no size cap	-	none	the cap landed as a SETUP_ERROR at the initial snapshot, which needed no new vocabulary; the post-recording sites are #330's row	B	fix	Closed 2026-08-25 (PR #322). The one unbounded read in the engine, over target-controlled data, hundreds of times per explore.
266	resolved	MCP replay trusts define.state inside the case file	-	none	the confinement changed which states a replay may name, which is MCP behaviour rather than the frozen tool names, input schemas or isError rule	D	fix	Closed 2026-08-25 (PR #322). Scoped close: what closed is the accident and received-case class. The residue is tracked in #328 rather than re-litigated inside a closed issue.
267	resolved	assertSafeRoot accepts any absolute path two slashes deep	-	none	a guard in front of deleteTree; no frozen surface	D	fix	Closed 2026-08-25 (PR #315). /var/lib, /usr/local and /home/user all passed the only guard in front of a delete that runs once per explored world.
268	resolved	the default work dir is one fixed world-writable path	-	none	a default path and open flags; no frozen surface	D	fix	Closed 2026-08-25 (PR #316). The MCP side had already met this shape and fixed it for itself; the general case had not.
269	resolved	the MCP server has no parent-death cleanup	-	sc-02	the surface diff attributes a measured change to this issue's resolution; see surface-changes.tsv for the item, the legality and the evidence	C	fix	Closed 2026-08-25 (PR #317). An agent host restarts servers routinely, so orphaned explores happen at some background rate. The stop needed a reason of its own, which is why the closed set gained parent_exited.
270	resolved	the numbering-assert wiring has no live acceptance coverage	-	none	acceptance coverage of an internal assert; no frozen surface	C	fix	Closed 2026-08-25 (PR #322). The recorded both-asserts-off mutant survived the suite; a second net no test can reach is indistinguishable from dead code.
271	resolved	upstream-report-status.sh cannot fail: the BROKEN counter dies in a subshell	-	none	spike tooling, outside the five surfaces	B	fix	Closed 2026-08-24 (PR #294). A table whose every row was BROKEN exited 0 under a header promising 'Exit 0 measured'. The list half stayed open as #297.
273	resolved	--help is not a word the CLI knows, and the usage text drifted from the parser	-	sc-09 sc-12	the surface diff attributes a measured change to this issue's resolution; see surface-changes.tsv for the item, the legality and the evidence	C	fix	Closed 2026-08-24 (PR #294). This is the row that proves an enumerated diff is not a measurement of surface 3: the ExitCode enum never moved, and the declaration was rewritten in the same commit to state the promise as a one-way verdict-to-code mapping.
277	resolved	top-level docs lag the record	-	none	documentation currency, outside the five surfaces	C	fix	Closed 2026-08-23 (PR #283). The same page had been backfilled the day before and drifted again within a day, which is why the issue asks for a checklist hook rather than a bigger backfill.
278	resolved	the README never routes a skeptic to the denominators	-	none	documentation navigation, outside the five surfaces	C	fix	Closed 2026-08-23 (PR #283, squash-merged as c16501b). Four rows added, including one to this audit page, plus the standing-value section the issue held open.
281	resolved	this re-sweep, and the standing obligation that the audit is a gate rather than a ceremony	-	none	the audit's own obligation issue, the same shape #86 had: recording a sweep is not touching a surface	C	fix	Closed by this merge. What it asked for is the sweep this manifest is: the snapshot replaced, every issue opened or closed since the last one classified, and the resolved accounting enumerated by a closed-issue query rather than recalled.
292	resolved	spike/macos-oracle/ is not registered in .gitattributes, and the rule has been missed twice	-	none	repository metadata, outside the five surfaces	C	fix	Closed 2026-08-25. Two misses out of two closures is the shape of a rule that needs a check rather than more emphasis; the issue records deciding not to add one as a legitimate answer with a sunset note.
295	resolved	the synopsis check covers two directions of three	-	none	acceptance coverage of the parser-versus-usage pair; no frozen surface	C	fix	Closed 2026-08-25. The unchecked direction is the one that actually drifted before #273.
296	resolved	sideeye explore --help is a SETUP ERROR: help is answered before the mode word	-	sc-10	the surface diff attributes a measured change to this issue's resolution; see surface-changes.tsv for the item, the legality and the evidence	C	fix	Closed 2026-08-25. The second movement of the exit-code surface's behavioural half in this window, and equally invisible to an enumerated diff.
305	resolved	a fix that changes the operation sequence orphans its own case	-	none	surface 4 promises exactly this refusal (case_no_longer_applies when the code changed underneath), so the promise is kept, not moved; what the issue questions is a criterion's bar	C	fix	Closed 2026-08-25 (PR #319). Structural, and stated without overreaching: a case pins a crash point inside a recorded sequence, so any fix that changes that sequence orphans it. How common such fixes are is explicitly not claimed — n is two.
306	resolved	the himalaya guard states a premise the upstream fix falsified, and it is committed twice	-	none	a committed checker's message text, outside the five surfaces	B	fix	Closed 2026-08-25. Found by scanning the class across all 18 committed cohort checkers: 18 hits in 6 files, two falsified, eight measured still true, one unmeasured and named as such.
320	resolved	the report-schema surface has no additive rule: whether a new field is breaking is a reading	-	sc-11	the surface diff attributes a measured change to this issue's resolution; see surface-changes.tsv for the item, the legality and the evidence	C	fix	Closed 2026-08-26 (PR #334). This is the row that makes the yardstick's motion visible: the rule most of this sweep's readings lean on was written INSIDE the window being audited, and did not exist when the snapshot being replaced was taken.
324	resolved	readTrace is the other uncapped read, and capping it naively would relabel the failure	-	sc-03	the surface diff attributes a measured change to this issue's resolution; see surface-changes.tsv for the item, the legality and the evidence	B	fix	Closed 2026-08-26 (PR #334). The issue whose body names neither unknown_reason nor the closed set while its resolution added trace_too_large to that set. It is the measured reason this audit stopped deciding surfaces by reading issues.
326	resolved	the MCP tool result relays target-controlled report text into the agent's context	-	none	marking the target-derived region changed the text block's content, not the frozen tool names, input schemas or isError rule	D	fix	Closed 2026-08-26. Escaping already prevented breaking the transport; what passed through untouched was the MEANING. The salience half became #336 and the shrink-the-channel half #337.
327	resolved	hold the destructive root by descriptor	-	none	an internal change to how the destructive walk addresses the root; no frozen surface	D	fix	Closed 2026-08-26. Under #266's threat model the swap window was not a one-shot race: restore runs once per world, so the attacker owns the retry count.
329	resolved	should the naming root be subject to the depth rule?	-	none	the startup vet's predicate; no frozen surface	D	fix	Closed 2026-08-27. The depth rule refused every single-component root, which is the ordinary shape of a container mount the README recommends. Resolved by vetting distance from danger rather than depth.
330	resolved	a post-recording cap breach reports exit 3 though exploration began	-	sc-04	the surface diff attributes a measured change to this issue's resolution; see surface-changes.tsv for the item, the legality and the evidence	B	fix	Closed 2026-08-26. Exit 3 means the define did not run; here exploration had begun. The same shape #264 refused for wait failures, and it cost a closed-set member for the same reason.
333	resolved	macOS copies through fcopyfile, which v11 does not interpose	-	sc-08	the surface diff attributes a measured change to this issue's resolution; see surface-changes.tsv for the item, the legality and the evidence	A	fix	Closed 2026-08-26. Class A on the platform where it costs most: SIP leaves no usable oracle, so a write the shim cannot see is refused by nothing. The bump to v12 is the declared-not-a-break kind.
336	resolved	the provenance advisory is read once at tools/list, not when a region is present	-	none	the advisory is emitted in the result text; the frozen tool names, input schemas and isError rule are untouched	D	fix	Closed 2026-08-26. #326's precision argument was correct about a different goal; salience at the moment of consumption is satisfied by one conditional.
351	resolved	a post-recording snapshot failure that is not the cap still says the define did not run	-	sc-05	the surface diff attributes a measured change to this issue's resolution; see surface-changes.tsv for the item, the legality and the evidence	B	fix	Closed 2026-08-27. Owner ruling recorded in the issue: add state_unsnapshotable to the closed set before the tag. Six error values behind one member, with the message separating them.
353	resolved	the audit's post-snapshot section has aged past four frozen-surface issues	-	none	the audit's own obligation issue, the same shape as #86 and #281	C	fix	Closed by this merge. Its own text says the fix is a re-sweep rather than an edit, and it was right about more than it knew: the window held five closed-set additions rather than the four issues it named, and two of those five were counted by nobody until this sweep measured the enum.
358	resolved	the predicate that deletes and the one that names read outward differently	-	none	an internal predicate alignment; no frozen surface	D	fix	Closed 2026-08-27 (main 4655363). Landed while this sweep was being measured, which is why this manifest sits on top of it.
369	active	rung 3's residue has no clause-to-check map: 'held by a check' and 'held by nobody' read the same	none	-	the audit's own rung-3 bookkeeping — a clause-to-check map is coverage documentation, and building it moves no surface	C	defer	Filed 2026-08-28 from the sweep's own three-rung report. The map is owed to readers of the drift report; until it exists the page says the residue is held by review, which is true and unverifiable.
370	active	the v7-case acceptance leg claims 'never a verdict' and does not assert it	none	-	an acceptance leg's assertion strength over surface 4's promised refusal; strengthening the check moves no surface	C	defer	Filed 2026-08-28. The engine refuses correctly today; the gap is that the leg would stay green on a regression that answers a verdict with the mismatch message in the output. Same family as #341's fixture gap.
371	active	the drift message tells the wrong actor to move the pin, and a pin asserts a reading nobody did	none	-	the audit gate's own diagnostics and pin semantics, outside the five surfaces	C	defer	Filed 2026-08-28, measured by a coordination failure it caused. This sweep re-pins with the reading actually taken (surface-drift-2026-08-29.txt committed beside it); the message's audience question stays open.
373	active	docs/adr/ numbering has no exclusion, and a collision merges green	none	-	repository hygiene over docs/adr/ filenames, outside the five surfaces	C	defer	Filed 2026-08-28 after two sessions each created an 0028 on the same day and only conversation caught it. The proposed check is three lines beside an existing spike check.
374	active	entries in the [Unreleased] block invalidate each other, and the stale ones stay	none	-	release-notes prose hygiene, outside the five surfaces	C	defer	Filed 2026-08-28 with a measured claim family (the memory-bound wording) where a later entry falsifies an earlier one and both stand. The release checklist rewrites the heading, not the entries.
375	resolved	state_tree_too_large reports what it read, not what the tree holds	-	none	reading taken by the fourth sweep, 2026-08-29: no — refusal-message detail inside an existing member; the member, the verdict and the exit are unchanged by any resolution the issue entertained	C	document	~~defer~~ **Closed 2026-08-29 as documented**: the adjudication already lives in `docs/adr/0029-the-snapshot-caps-what-holding-the-tree-costs.md` (the section rejecting an accounting-only continuation on four measurements), which ends by filing contributor-naming separately, to be built if operators ask. The issue and that section carried the same ruling and the ADR is the durable half. The refusal already names the two commands that answer the question exactly. Closed as documented, not as fixed; an operator asking reopens it
376	active	SnapshotError types a reader that cannot raise half of it	none	-	internal error-set precision; every consumer already catches the whole set, so no behaviour or surface moves	C	defer	Filed 2026-08-28. The cost is that snapshotDetail's exhaustiveness covers a wider set than each producer can raise, which weakens the new-member-is-a-compile-error mechanism's precision, not its soundness.
377	active	max_trace_bytes is per-read, the way the per-file cap was before #323	none	-	a bounded-by-counting property of the engine's own memory, outside the five surfaces; the issue names no new member and the existing refusal covers each read	C	tracked	Filed 2026-08-28 so the property lives somewhere other than an argument: the total is bounded by there being two read sites in one function, and a third would move the bound with nothing noticing. Lower urgency than #323 was — neither read is target-controlled in size.
383	active	the onboarding clock's launcher can silently reuse a stale box	none	-	criterion 6's spike apparatus (run-clock.sh preflight), outside the five surfaces	C	defer	Filed 2026-08-28 from run 2, which was taken against a box started 2h51m earlier after a name-conflict docker run failure. The run stands — zero files changed inside the box between its start and the run, measured with a 47-file control — and the preflight's missing age check is the filed gap.
